term,pos,notes,is_case_sensitive,translation_ar,notes_ar,translation_ast,notes_ast,translation_bg,notes_bg,translation_br,notes_br,translation_ca,notes_ca,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_ca,notes_en_ca,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_eo,notes_eo,translation_es,notes_es,translation_et,notes_et,translation_eu,notes_eu,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_fy,notes_fy,translation_ga,notes_ga,translation_gd,notes_gd,translation_gl,notes_gl,translation_he,notes_he,translation_hi,notes_hi,translation_hr,notes_hr,translation_hu,notes_hu,translation_ia,notes_ia,translation_id,notes_id,translation_ig,notes_ig,translation_it,notes_it,translation_ja,notes_ja,translation_jv,notes_jv,translation_ka,notes_ka,translation_ko,notes_ko,translation_krl,notes_krl,translation_la,notes_la,translation_lt,notes_lt,translation_mr,notes_mr,translation_ms,notes_ms,translation_nb,notes_nb,translation_nds,notes_nds,translation_nl,notes_nl,translation_nn,notes_nn,translation_oc,notes_oc,translation_pl,notes_pl,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_ro,notes_ro,translation_ru,notes_ru,translation_rw,notes_rw,translation_si,notes_si,translation_sk,notes_sk,translation_sl,notes_sl,translation_sr,notes_sr,translation_sr_rs,notes_sr_rs,translation_sv,notes_sv,translation_tr,notes_tr,translation_uk,notes_uk,translation_vi,notes_vi,translation_zh_cn,notes_zh_cn,translation_zh_tw,notes_zh_tw
Amalea,noun,Character - Empire,false,,,,,Амалея,,Amalea,tudenn,Amalea,,Amalea,,Amalea,,Amalea,,Αμαλία,,,,,,,,,,Amalea,Personaje - Imperio,,,,,,,,,Amalea,,,,,,Amalea,,,,,,,,,,Amalea,,,,,,,,Amalea,,アマリア,,,,,,아말리아,,,,,,,,,,,,,,Amalee',,Amalea,,,,,,Amalea,,Amalea,,,,Amalea,,Амалия,Персонаж — Империя,,,,,Amalea,,,,,,,,Amalea,,,,,,,,亚玛利亚,角色名音译。,,
Amazons,noun,Tribe,false,,,,,,,,,Amazones,,Amazonky,,,,Amazonen,,Αμαζόνες,,,,,,,,,,Amazonas,,,,,,,,,,Amazones,,,,,,Muinntir na h-Amasoin,,,,,,,,,,Amazonok,,,,,,,,Amazzoni,,,,,,,,아마존,,,,,,,,,,,,,,Amazonen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazonerna,,,,Амазонки,,,,亚马逊,,,
Angadthur,,Character,false,,,,,,,,,,,Mangadur,,,,,,,,,,,,,,,,,,,,,,,,,,Angadthur,,,,,,,,,,,,,,,,Angadthur,,,,,,,,Angadthur,,,,,,,,앙갓투르,,,,,,,,,,,,,,Angadtuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angadthur,,,,,,,,,,,
Aqua Farm,noun,Production Building - Frisians,false,,,,,Водна ферма,,,,Granja aqüícola,,rybí sádka,,Vandlandbrug,,Fischzucht,,Ιχθυοκαλλιέργεια,,,,,,,,,,Granja Marina,Edificio de producción - Frisios,,,,,,,,Vesiviljelmä,Pisciculture,,,,,,tuathanas-uisge,thuathanas-uisge | tuathanasan-uisge | thuathanas-uisge,,,,,,,,,Halgazdaság,,,,,,,,Allevamento ittico,Fattoria acquatica o Allevamento ittico?OI,養殖場,,,,,,양어장,,,,,,,,,,,,,,Fissbuurderee,,Visteler,,,,,,Hodowla ryb,,Piscicultura,,Fazenda Aquática,,,,Акваферма,,,,,,,,,,,,,,Fiskodling,,,,Акваферма,,,,水产养殖场,,,
Archipelago Sea,noun,,false,,,,,,,,,El mar dels arxipèlags,,,,Skærgårdshavet,,Archipelsee,,Αρχιπέλαγος,,,,,,,,,,,,,,,,,,,Saaristomeri,La Mer des Archipels,,,,,,,,,,,,,,,,Finn-szigetvilág,"https://hu.wikipedia.org/wiki/Finnorsz%C3%A1g#/media/F%C3%A1jl:Lempisaari,_Naantali,_Finland..jpg",,,,,,,Mare dell'arcipelago,,,,,,,,,,,,,,,,,,,,,,Halligsee,,,,,,,,,,,,Mar do Arquipélago,,Archipelago Sea,,Архипелаговое море,,,,,,,,,,,,,,Skärgård,,,,,,,,多岛海区,,,
Archive,noun,GUI,false,,,,,Архив,,,,Arxiu,,záloha,,Arkiv,,Ablage,,Αρχείο,,,,,,,,,,Archivo,GUI,,,,,,,,Arkisto,Archive,,,,,,tasglann,tasglainn | tasglannan | thasglannan,,,,,,,Arhiva,,Archívum,,,,,,,,Archivia,,保管箱,メール置き場,,,,,,,,,archivum,,,,,,,,,,Olle Narichten,,Archief,,,,,,Archiwum,,arquivo,,Arquivo,,Arhivă,,Архив,Интерфейс,,,,,Archív,,,,,,,,Arkiv,,,,архів,,,,档案,,,
Archive selected message,,,false,,,,,,,,,Arxiva el missatge seleccionat,,Archiv vybraných zpráv,,,,Ausgewählte Nachricht ablegen,,Αρχειοθέτηση επιλεγμένου μηνύματος,,,,,,,,,,Archivar el mensaje seleccionado,,,,,,,,,,Archiver les messages sélectionnés,,,,,,Cuir an teachdaireachd a thagh thu dhan tasglann,,,,,,,,,,A kiválasztott üzenet archiválása,,,,,,,,Archivia messaggi selezionati,,,,,,,,,,,,,,,,,,,,,,Düsse Narichten wegdoon,,Archiveer geselecteerd bericht,,,,,,Archiwizuj wybrane wiadomości,Tekst na przycisku w GUI,,,Arquivar mensagem selecionada,,Arhivează mesajele selectate,,Архивировать выбранное сообщение,,,,,,,,,,,,,,Arkivera valda meddelanden,,,,,,,,档案选中信息,,,
Arena,noun,Training Building - Empire,false,,,,,Арена,,,,Palestra,,aréna,,Arena,,Arena,,Αρένα,,,,,,,,,,Arena,Edificio de entrenamiento - Imperio,,,,,,,Areena,Areena,Arène,,,,,,raon spòrs,raoin spòrs|raointean spòrs,,,,,,,Arena,,Aréna,,,,,,,,Arena,Edificio di addestramento - Impero,アリーナ,(保留),,,,,,,,,arena,,Arena,,,,,,Arena,,Ring,,Arena,,,,,,Arena,,arena,,Arena,,Arenă,,Арена,Постройка для обучения — Империя,,,,,aréna,,,,,,,,Arena,,,,Арена,,,,竞技场,,,
Armor,noun,Ware - Armor - Empire,false,,,,,Броня,,Houarnwisk,,Armadura,,zbroj,,Rustning,,Harnisch,Rüstung |,Πανοπλία,,,,,,,,,,Armadura,Mercancía - Armadura - Imperio,,,,,,,,Haarniska,Armure,,,,,,armachd,boir. iol. -an,,,,,,,Oklop,,Páncél,,,,,,,,Armatura,,アーマー,,,,,,,,,,lorica,,,,,,,,Rustning,,Wapenrock,,Kuras,"formerly: ""Harnas""; ""Kuras"" < ""Maliënkolder"" < ""Verguld Harnas""",,,,,Zbroja,,armadura,,Armadura,,,,Доспех,,,,,,zbroj,,,,,,,,Rustning,,,,Броня,,,,盔甲,,,
Armor Smithy,noun,"Production Building - Atlanteans, Empire",false,,,,,Ковачница за брони,,,,Taller d’armadures,,platnéřství,"zbrojířství | u Frísů jako ""zbrojířství"" (velké a malé zbrojířství)",Rustningssmedje,,Rüstungsschmiede,,Πανοπλοποιείο,,,,,,,,,,Taller de Armaduras,"Edificio de producción - Atlantes, Imperio",,,,,,,Haarniskapaja,Haarniskapaja,Forge d'armures,,,,,,ceàrdach armachd,cheàrdach armachd | ceàrdaich armachd | ceàrdaichean armachd | cheàrdaichean armachd,,,,,,,Kovačnica oklopa,,Páncélkovácsműhely,,,,,,,,Fucina di armature,Fucina di corazze | should be unified?OI,防具工房,(保留),,,,,갑옷 제작소,,,,fabrica loricarum,,,,,,,,Rustningssmie,,Panzersmee,,Harnassmederij,,,,,,Pracownia płatnerza,,ferreiro de armas,,Forja de Armaduras,,,,Бронная,,,,,,vyhňa na zbroje,,,,,,,,Rustningssmedja,,,,Ковальня Броні,Не впевнений,,,盔甲铺,,,
Armorsmith,noun,"Worker - Atlanteans, Empire",false,,,,,Ковач на брони,,,,Mestre d’armadures,,platnéř,,Rustningssmed,,Rüstungsschmied,,Πανοπλοποιός,,,,,,,,,,Fabricante de Armaduras,"Trabajador - Atlantes, Imperio",,,,,,,,Haarniskaseppä,Forgeron d'armures,,,,,,ceàrd-armachd,fir. gin. ┐ iol. ciùird,,,,,,,Kovač oklopa,,Páncélkovács,,,,,,,,Fabbro di armature,,防具職人,(保留),,,,,,,,,loricarum faber,,,,,,,,Rustningssmed,(Should this have one or two 's' in the middle?),Panzersmidd,,Harnassmid,,,,,,Płatnerz,,armador,,Armeiro,,,,Бронник,,,,,,kováč zbrojí,,,,,,,,Rustningssmed,,,,Бронероб,,,,盔甲匠人,,,
Artifact,noun,Immovable,false,,,,,,,Daraozad,,Artefacte,,artefakt,,Artefakt,,Artefakt,,Κομψοτέχνημα,,,,,,,,,,Artefacto,Inmóvil,,,,,,,,Maamerkki,Artefact,,,,,,ball-ealain,bhall-ealain|buill-ealain|bhuill-ealain,,,,,,,,,Ereklye,Mozdíthatatlan,,,,,,,Manufatto prezioso,"should be unified ""artefatto"" or ""manufatto"" OI",アーティファクト,,,,,,,,,,,,,,,,,,,,Künstelk Schatten,"Means ""artificial treasure"". Anyone who comes up with a better translation is welcome to replace it.",Artefact,,,,,,Artefakt,nieruchomy,artefato,,Artefato,,,,Артифакт,,,,,,artefakt,,,,,,,,Artefakt,,,,Артефакт,,,,远古遗物,,,
Ashes,noun,Immovable - all tribes,false,,,,,,,,,Cendres,,popel,typ terénu,,,Aschen,,Στάχτες,,,,,,,,Cindroj,,Cenizas,,,,,,,,,,Cendres,,,,,,Luaithre,,,,,,,,,,Hamvak,,,,,,,,Ceneri,,,,,,,,,,,,,,,,,,,,,,Aske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aska,,,,Попіл,,,,灰烬,,,
Askandor,noun,Character - Atlanteans,false,,,,,Аскандор,,,,Askandor,,Askandor,,Askandor,,Askandor,,Άσκαντορ,,,,,,,,Askandor,,Askandor,Personaje - Atlantes,,,,,,,,,Askandor,,,,,,Askandor,,,,,,,,,,Askandor,,,,,,,,Askandor,,アスカンドール,,,,,,,,,,,,,,,,,,,,Askandor,,Askandor,,,,,,,,Askandor,,,,,,Аскандор,,,,,,Askandor,,,,,,,,Askandor,,,,,,,,阿斯坎多尔,角色名音译。,,
Atlantean,adjective,Of the tribe,false,,,,,"Атландец, атландски",,,,Atlant,,atlantský,,Atlanter,,atlantisch,,Ατλαντιανό,,,,,,,,Atlanta,,Atlante,De la tribu,,,,,,,,Atlantislainen,Atlante,,,,,,Atlantach,Atlantaich|,,,,,,,Atlantiđan,,Atlantiszi,,,,,,,,Atlantideo,,アトランティス,(adjective),,,,,,,,,,,Atlantų,,,,,,,,Atlantisk,,Atlantisch,,,,,,Atlantydzki,,"da Atlântida, Atlanta",,Atlante,,,,Атлантский,,,,,,atlantídsky,,,,,,,,Atlant,,,,,,,,亚特兰蒂斯岛的,,,
Atlanteans,noun,Tribe,false,,,,,Атландци,,Atlantiz,,Atlants,,Atlanťané,,Atlantere,,Atlanter,,Ατλαντίδες,,,,,,,,Atlantoj,,Atlantes,Tribu,,,,,,,,Atlantislainen,Atlantes,,,,,,Na h-Atlantaich,muinntir Atlantais|nan Atlantach,,,,,,,Atlantiđani,,Atlantisziak,,,,,,,,Atlantidei,,アトランティス,(tribe name) from アトラス,,,,,,,,,,,Atlantai,,,,,,Atlanterne,,Atlantinger,,Atlantiërs,,,,,,Atlantydzi,,Atlantas,,Atlantes,,,,Атланты,Племя,,,,,Atlantíďania,,,,,,,,Atlanterna,,,,,,,,亚特兰蒂斯人,,,
Atlantis,noun,Placename,false,,,,,Атлантида,,Atlantis,,Atlàntida,,Atlantida,,Atlantis,,Atlantis,,Ατλαντίδα,,,,,,,,,,Atlántida,Nombre de un lugar,,,,,,,,Atlantis,Atlantis,,,,,,Atlantas,Atlantais|,,,,,,,Atlantis,,Atlantisz,,,,,,,,Atlantis,,アトランティス,(地名),,,,,,,,,,,Atlantida,,,,,,,,Atlantis,,Atlantis,,,,,,Atlantyda,,Atlântida,f,Atlântida,,,,Атлантида,Топоним,,,,,Atlantída,,,,,,,,Atlantis,,,,,,,,亚特兰蒂斯,地名,,
Attack,noun,Soldier property,false,,,,,Атака,,Tagadenn,Perzh ar soudarded,Atac,,útok,,Angreb,,Angriff,,Επίθεση,,,,,,,,,,Ataque,Propiedad de un soldado,,,,,,,,Hyökkäys,Attaque,,,,,,ionnsaigh,ionnsaighe | ionnsaighean,,,,,,,Napad,,Támadás,,,,,,,,Attacco,,攻撃,,,,,,,,,,aggressio,,Ataka,,,,,,Angrep,,Angriff,,Aanval,,,,,,Atak,,ataque,,Ataque,,,,Атака,,,,,,útok,,,,,,,,Attack,,,,Атака,,,,攻击,,,
Atterdag,,Character,false,,,,,,,,,,,Zítřek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atterdag,,,,,,,,Atterdag,"means ""Domani"" OI",,,,,,,,,,,,,,,,,,,,,Atterdag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atterdag,,,,,,,,,,,
Autocrat,noun,Game type,false,,,,,Деспот,,,,Dèspota,,autokrat,,Autokrat,,Alleinherrscher,,Αυτοκράτωρ,,,,,,,,,,Autócrata,Tipo de juego,,,,,,,,Yksinvaltias,Autocrate,,,,,,fèin-fhlaitheach,,,,,,,,,,Zsarnok,,,,,,,,Autocrate,Tipo di partita,支配者,ゲームの種類 (元: 独裁者),,,,,,,,,tyrannus,,,,,,,,,,Dwingelant,,Autocraat,,,,,,Samowładca,,Autocrata,,Autocrata,,,,Тиран,Тип игры,,,,,Samovládca,,,,,,,,Envåldshärskare,,,,,,,,独裁者,,,
Autosave,noun,,false,,,,,,,Emenrolladenn,,Autodesada,,automatické uložení,,Automatisk gem,,Autospeichern,,Αυτόματη αποθήκευση,,,,,,,,,,Auto Guardado,,,,,,,,,Automaattinen tallennus,Sauvegarde automatique,,,,,,fèin-sàbhaladh,fèin-sàbhalaidh | fhèin-sàbhaladh | fhèin-sàbhalaidh,,,,,,,,,Automatikus mentés,,,,,,,,Salvataggio automatico,Auto-salvataggio |,自動保存,,,,,,,,,,,,Automatinis išsaugojimas,,,,,,,,Automatisk Sekern,,Autosave,"Or ""Automatisch opgeslagen spel"" when indicating the file",,,,,,,auto-guardado,,,,,,Автосохранение,,,,,,,,,,,,,,Spara automatiskt,,,,,,,,自动保存,,,
Ax,noun,"Ware - Weapon - Barbarians, Tool - Empire. Tool will be replaced by Felling Ax",false,,,,,Брадва,,,,Destral,,sekera,,Økse,,Axt,,Πέλεκυς,,,,,,,,,,Hacha,"Mercancía - Arma - Bárbaros, Herramienta - Imperio. Herramienta será reemplazada por Hacha de Tala",,,,,,,,Kirves,Hache,,,,,,tuagh,thuagh | tuaighe | tuaghan | thuaghan,,,,,,,,,Fejsze,(máshol fejsze),,,,,,,Ascia,,斧,(元: 伐採斧),,,,,도끼,,,,ascia,,Kirvis,,,,,,Øks,,Ext,,Bijl,,,,,,Topór,,machado,,Machado,,,,Топор,,,,,,sekera,,,,,,,,Yxa,,,,Сокира,,,,斧,,,
Ax Workshop,noun,Production Building - Barbarians. Replaces Axfactory.,false,,,,,Работилница за брадви,,,,Taller de destrals,,Dílna na sekery,,Økseværksted,,Axtschmiede,,Πελεκοποιείο,,,,,,,,,,Taller de Hachas,"Edificio de producción - Bárbaros.
Reemplaza ""Axfactory""",,,,,,,Kirvespaja,Kirvespaja,Fabrique de hache,,,,,,ceàrdach thuaghan,cheàrdach thuaghan | ceàrdaich thuaghan | ceàrdaichean thuaghan | cheàrdaichean thuaghan,,,,,,,,,Fejszekészítő műhely,,,,,,,,Fabbrica di asce,Officina delle Asce | should be unified OI,斧工房,,,,,,도끼 제작소,,,,,,Kirvių dirbtuvė,,,,,,,,Extensmede,,Bijlatelier,,,,,,Warsztat toporów,,loja de machados,,Oficina de Machado,,,,Топорная мастерская,,,,,,výrobňa sekier,,,,,,,,Yxverkstad,,,,,,,,斧头厂,,,
Baker,noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Пекар,,Baraer,Labourer,Flequer,,pekař,,Bager,,Bäcker,,Φούρναρης,,,,,,,,,,Panadero,Trabajador,,,,,,,,Leipuri,Boulanger,,,,,,fuineadair,fuineadairean|,,,,,,,Pekar,,Pék,,,,,,,,Fornaio,,パン職人,,,,,,,,,,pistor,,Kepėjas,,,,,,Baker,,Backer,,Bakker,,,,,,Piekarz,,padeiro,,Padeiro,,,,Пекарь,,,,,,pekár,,,,,,,,Bagare,,,,,,,,面包师,,,
Bakery,noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Пекарна,,Ti ar baraer,,Fleca,,pekárna,,Bageri,,Bäckerei,,Φούρνος,,,,,,,,,,Panadería,"Edificio de producción . Atlantes, Bárbaros, Imperio",,,,,,,,Leipomo,Boulangerie,,,,,,taigh-fuine,taighe-fhuine | taighean-fuine | thaighean-fuine,,,,,,,Pekara,,Pékség,,,,,,,,Forno,,パン工房,,,,,,제과점,,,,pistrina,,Kepykla,,,,,,Bakeri,,Backeree,,Bakkerij,,,,,,Piekarnia,,padaria,,Padaria,,,,Пекарня,,,,,,pekáreň,,,,,,,,Bageri,,,,,,,,面包房,,,
Balsa,noun,Ware - Amazons,false,,,,,,,,,Balsa,,balsa,,,,Balsaholz,,,,,,,,,,,,Madera de Balsa,,,,,,,,,,,,,,,,fiodh-balsa,,,,,,,,,,Balzafa,,,,,,,,Legno di balsa,,,,,,,,발사,,,,,,,,,,,,,,Balsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balsaträ,,,,,,,,轻木,,,
Balsa Tree,noun,Immovable - Amazons,false,,,,,,,,,Arbre balsa,,balzovník jihoamerický,,,,Balsabaum,,,,,,,,,,,,Balsa,,,,,,,,,,,,,,,,craobh-balsa,,,,,,,,,,Balzafa,,,,,,,,Albero di balsa,,,,,,,,발사 나무,,,,,,,,,,,,,,Balsaboom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balsaträd,,,,,,,,轻木树,,,
Barbarian,adjective,Of the tribe,false,,,,,"Варварин, варварски",,Barbar,Maez eus ar meuriad,Bàrbar,,barbarský,,Barbar,,der Barbaren,"""barbarisch"" hat eine andere Bedeutung",Βάρβαρος,,,,,,,,,,Bárbaro,De la tribu,,,,,,,,,Barbare,,,,,,Tùsanach,Tùsanaich |,,,,,,,Barbar,,Barbár,,,,,,,,Barbarico,,野蛮人,,,,,,,,,,,,Barbarų,,,,,,,,Wild,"Flexion: Wild, Wille, Willen",Barbaars,,,,,,Barbarzyński,,dos Bárbaros,,Bárbaro,,,,Варварский,,,,,,barbarský,,,,,,,,Barbar,,,,,,,,野蛮的,,,
Barbarians,noun,Tribe,false,,,,,Варвари,,,,Bàrbars,,Barbaři,,Barbarerne,,Barbaren,,Βάρβαροι,,,,,,,,,,Bárbaros,Tribu,,,,,,,Barbaarit,,Barbares,,,,,,Na Tùsanaich,nan Tùsanach |,,,,,,,Barbari,,Barbárok,,,,,,,,Barbari,,野蛮人,バーバリアン,,,,,,,,,Barbari,,Barbarai,,,,,,Barbarene,,Wille Lüü,"""The Wild People""",Barbaren,,,,,,Barbarzyńcy,,Bárbaros,,Bárbaros,,,,Варвары,,,,,,Barbari,,,,,,,,Barbarerna,,,,Варвари,,,,蛮族,,,
Barley,noun,Ware - Frisians,false,,,,,Ечемик,,,,Ordi,,ječmen,,Byg,,Gerste,,Κριθάρι,,,,,,,,,,Cebada,,,,,,,,,Ohra,Orge,,,,,,eòrna,,,,,,,,,,Árpa,,,,,,,,Orzo,,大麦,,,,,,,,,,,,Miežiai,,,,,,,,Garste,,Gerst,,,,,,Jęczmień,,cevada,,Cevada,,,,Ячмень,,,,,,,,,,,,,,Korn,,,,,,,,大麦,,,
Barley Field,noun,Immovable - Frisians,false,,,,,Ечемичено поле,,,,Camp d’ordi,,ječné pole,,Bygmark,,Gerstenfeld,,Αγρός Κριθαριού,,,,,,,,,,Campo de cebada,,,,,,,,,Ohrapelto,Champ d'Orge,,,,,,achadh eòrna,achaidhean eòrna,,,,,,,,,Árpaföld,,,,,,,,Campo di orzo,,大麦畑,,,,,,,,,,,,Miežių laukas,,,,,,,,Garstenacker,,Gerstveld,,,,,,Pole jęczmienia,,campo de cevada,,Campo de Cevada,,,,Ячменное поле,,,,,,,,,,,,,,Kornåker,,,,,,,,麦田,,,
