term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Arena,Noun,Training Building - Empire,,,,,Арена,,,,Palestra,,aréna,,Arena,,Arena,,Αρένα,,,,,,,,,,Arena,Edificios de entrenamiento - Imperio,,,,,,,,Areena,Arène,,,,,,raon spòrs,raoin spòrs|raointean spòrs,,,,,,,Arena,,Aréna,,,,,,,,Arena,Edificio di addestramento - Impero,アリーナ,(保留),,,,,,,,,arena,,,,,,,,,,Arena,,Ring,,Arena,,,,,,Arena,,arena,,Arena,,Arenă,,Арена,Постройка для обучения — Империя,,,,,aréna,,,,,,Arena,,,,,,,,,,,
Armor,Noun,Ware - Armor - Empire,,,,,Броня,,,,Armadura,,zbroj,,Rustning,,Harnisch,,Πανοπλία,,,,,,,,,,Armadura,Mercancía - Armadura - Imperio,,,,,,,,Haarniska,Armure,,,,,,armachd,boir. iol. -an,,,,,,,Oklop,,Páncél,,,,,,,,Armatura,,アーマー,,,,,,,,,,lorica,,,,,,,,,,Rustning,,Wapenrock,,Kuras,"formerly: ""Harnas""; ""Kuras"" < ""Maliënkolder"" < ""Verguld Harnas""",,,,,Zbroja,,armadura,,Amadura,,,,Доспех,,,,,,zbroj,,,,,,Rustning,,,,,,,,盔甲,,,
Armor Smithy,Noun,"Production Building - Atlanteans, Empire",,,,,Ковачница за брони,,,,Taller d'armadures,,platnéřství,,Rustningsmedje,,Rüstungsschmiede,,Πανοπλοποιείο,,,,,,,,,,Taller de Armaduras,"Edificio de producción - Atlantes, Imperio",,,,,,,,Haarniskapaja,Forge d'armures,,,,,,ceàrdach armachd,cheàrdach armachd | ceàrdaich armachd | ceàrdaichean armachd | cheàrdaichean armachd,,,,,,,Kovačnica oklopa,,Páncélkovácsműhely,,,,,,,,Fucina di armature,,防具工房,(保留),,,,,,,,,fabrica loricarum,,,,,,,,,,Rustningssmie,,Panzersmee,,Harnassmederij,,,,,,Pracownia płatnerza,,ferreiro de armas,,Forja de Armaduras,,,,Бронная,,,,,,vyhňa na zbroje,,,,,,Rustningssmedja,,,,,,,,,,,
Armorsmith,Noun,"Worker - Atlanteans, Empire",,,,,Ковач на брони,,,,Mestre d'armadures,,platnéř,,Rustningsmed,,Rüstungsschmied,,Πανοπλοποιός,,,,,,,,,,Fabricante de Armaduras,"Trabajador - Atlantes, Imperio",,,,,,,,Haarniskaseppä,Forgeron d'armures,,,,,,ceàrd-armachd,fir. gin. ┐ iol. ciùird,,,,,,,Kovač oklopa,,Páncélkovács,,,,,,,,Fabbro di armature,,防具職人,(保留),,,,,,,,,loricarum faber,,,,,,,,,,Rustningssmed,(Should this have one or two 's' in the middle?),Panzersmidd,,Harnassmid,,,,,,Płatnerz,,armador,,Ferreiro de Armaduras,,,,Бронник,,,,,,kováč zbrojí,,,,,,Rustningssmed,,,,,,,,,,,
Artifact,Noun,Immovable,,,,,,,,,Artefacte,,artefakt,,,,Artefakt,,Κομψοτέχνημα,,,,,,,,,,Artefacto,Inmóvil,,,,,,,,Maamerkki,Artefact,,,,,,ball-ealain,bhall-ealain|buill-ealain|bhuill-ealain,,,,,,,,,Ereklye,Mozdíthatatlan,,,,,,,,,アーティファクト,,,,,,,,,,,,,,,,,,,,,,Künstelk Schatten,"Means ""artificial treasure"". Anyone who comes up with a better translation is welcome to replace it.",Artefact,,,,,,Artefakt,nieruchomy,artefato,,,,,,Артифакт,,,,,,artefakt,,,,,,Artefakt,,,,,,,,,,,
Ashes,Noun,Immovable - all tribes,,,,,,,,,,,,,,,Aschen,,Στάχτες,,,,,,,,Cindroj,,Cenizas,,,,,,,,,,,,,,,,Luaithre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Askandor,Noun,Character - Atlanteans,,,,,Аскандор,,,,Askandor,,,,Askandor,,Askandor,,Άσκαντορ,,,,,,,,Askandor,,Askandor,Personaje - Atlantes,,,,,,,,,Askandor,,,,,,Askandor,,,,,,,,,,Askandor,,,,,,,,,,アスカンドール,,,,,,,,,,,,,,,,,,,,,,Askandor,,Askandor,,,,,,,,Askandor,,,,,,Аскандор,,,,,,Askandor,,,,,,Askandor,,,,,,,,,,,
Atlantean,Adjective,Of the tribe,,,,,"Атландец, атландски",,,,Atlant,,atlantský,,Atlanter,,atlantisch,,Ατλαντιανό,,,,,,,,Atlanta,,Atlante,De la tribu,,,,,,,,Atlantislainen,Atlante,,,,,,Atlantach,Atlantaich|,,,,,,,Atlantiđan,,Atlantiszi,,,,,,,,Atlantideo,,アトランティス,(adjective),,,,,,,,,,,,,,,,,,,,,Atlantisk,,Atlantisch,,,,,,Atlantydzki,,"da Atlântida, Atlanta",,,,,,Атлантский,,,,,,atlantídsky,,,,,,Atlant,,,,,,,,,,,
Atlanteans,Noun,Tribe,,,,,Атландци,,,,Atlants,,Atlanťané,,Atlantere,,Atlanter,,Ατλαντίδες,,,,,,,,Atlantoj,,Atlantes,Tribu,,,,,,,,Atlantislainen,Atlantes,,,,,,Na h-Atlantaich,muinntir Atlantais|nan Atlantach,,,,,,,Atlantiđani,,Atlantisziak,,,,,,,,Atlantidei,,アトランティス,(tribe name) from アトラス,,,,,,,,,,,,,,,,,,,Atlanterne,,Atlantinger,,Atlantiërs,,,,,,Atlantydzi,,Atlantas,,Atlantes,,,,Атланты,Племя,,,,,Atlantíďania,,,,,,Atlanterna,,,,,,,,,,,
Atlantis,Noun,Placename,,,,,Атлантида,,,,Atlàntida,,Atlantida,,Atlantis,,Atlantis,,Ατλαντίδα,,,,,,,,,,Atlántida,Nombre de un lugar,,,,,,,,Atlantis,Atlantis,,,,,,Atlantas,Atlantais|,,,,,,,Atlantis,,Atlantisz,,,,,,,,Atlantis,,アトランティス,(地名),,,,,,,,,,,,,,,,,,,,,Atlantis,,Atlantis,,,,,,Atlantyda,,Atlântida,f,Atlântida,,,,Атлантида,Топоним,,,,,Atlantída,,,,,,Atlantis,,,,,,,,,,,
Attack,Noun,Soldier property,,,,,Атака,,Tagadenn,Perzh ar soudarded,Atac,,útok,,Angreb,,Angriff,,Επίθεση,,,,,,,,,,Ataque,Propiedad de un soldado,,,,,,,,Hyökkäys,Attaque,,,,,,ionnsaigh,ionnsaighe | ionnsaighean,,,,,,,Napad,,Támadás,,,,,,,,Attacco,,攻撃,,,,,,,,,,aggressio,,,,,,,,,,Angrep,,Angriff,,Aanval,,,,,,Atak,,ataque,,Ataque,,,,Атака,,,,,,útok,,,,,,Attack,,,,Атака,,,,攻击,,,
Autocrat,Noun,Game type,,,,,Деспот,,,,Dèspota,,autokrat,,Autokrat,,Alleinherrscher,,Αυτοκράτωρ,,,,,,,,,,Autócrata,Tipo de juego,,,,,,,,Yksinvaltias,Autocrate,,,,,,fèin-fhlaitheach,,,,,,,,,,Zsarnok,,,,,,,,Autocrate,Tipo di partita,支配者,ゲームの種類 (元: 独裁者),,,,,,,,,tyrannus,,,,,,,,,,,,Dwingelant,,Autocraat,,,,,,Samowładca,,Autocrata,,Autocrata,,,,Тиран,Тип игры,,,,,Samovládca,,,,,,Envåldshärskare,,,,,,,,,,,
Autosave,Noun,,,,,,,,Emenrolladenn,,Autodesada,,automatické uložení,,,,Autospeichern,,Αυτόματη αποθήκευση,,,,,,,,,,Auto Guardado,,,,,,,,,Automaattinen tallennus,Sauvegarde automatique,,,,,,fèin-sàbhaladh,fèin-sàbhalaidh | fhèin-sàbhaladh | fhèin-sàbhalaidh,,,,,,,,,Automatikus mentés,,,,,,,,,,自動保存,,,,,,,,,,,,,,,,,,,,,,Automatisk Sekern,,Autosave,"Or ""Automatisch opgeslagen spel"" when indicating the file",,,,,,,auto-guardado,,,,,,Автосохранение,,,,,,,,,,,,Spara automatiskt,,,,,,,,自动保存,,,
Ax,Noun,"Ware - Weapon - Barbarians, Tool - Empire. Tool will be replaced by Felling Ax",,,,,Брадва,,,,Destral,,sekera,,Økse,,Axt,,Πέλεκυς,,,,,,,,,,Hacha,"Mercancía - Arma - Bárbaros, Herramienta - Imperio. Herramienta será reemplazada por Hacha de Tala",,,,,,,,Kirves,Hache,,,,,,tuagh,thuagh | tuaighe | tuaghan | thuaghan,,,,,,,,,Favágó balta,(máshol fejsze),,,,,,,Ascia,,斧,(元: 伐採斧),,,,,,,,,ascia,,,,,,,,,,Øks,,Ext,,Bijl,,,,,,Topór,,machado,,Machado,,,,Топор,,,,,,sekera,,,,,,Yxa,,,,Сокира,,,,,,,
Ax Workshop,Noun,Production Building - Barbarians. Replaces Axfactory.,,,,,Работилница за брадви,,,,Taller de destrals,,Dílna na sekery,,Økseværksted,,Axtschmiede,,Πελεκοποιείο,,,,,,,,,,Taller de Hachas,"Edificio de producción - Bárbaros.
Reemplaza ""Axfactory""",,,,,,,,Kirvespaja,Fabrique de Hache,,,,,,ceàrdach thuaghan,cheàrdach thuaghan | ceàrdaich thuaghan | ceàrdaichean thuaghan | cheàrdaichean thuaghan,,,,,,,,,Fejszekészítő műhely,,,,,,,,Fabbrica di asce,,斧工房,,,,,,,,,,,,,,,,,,,,,,Extensmede,,Bijlatelier,,,,,,Warsztat toporów,,loja de machados,,Oficina de Machado,,,,Топорная мастерская,,,,,,výrobňa sekier,,,,,,Yxverkstad,,,,,,,,,,,
Baker,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Пекар,,Baraer,Labourer,Flequer,,pekař,,Bager,,Bäcker,,Φούρναρης,,,,,,,,,,Panadero,Trabajador,,,,,,,,Leipuri,Boulanger,,,,,,fuineadair,fuineadairean|,,,,,,,Pekar,,Pék,,,,,,,,Fornaio,,パン職人,,,,,,,,,,pistor,,,,,,,,,,Baker,,Backer,,Bakker,,,,,,Piekarz,,padeiro,,Padeiro,,,,Пекарь,,,,,,pekár,,,,,,Bagare,,,,,,,,面包师,,,
Bakery,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Пекарна,,Ti ar Bara,,Fleca,,pekárna,,Bageri,,Bäckerei,,Φούρνος,,,,,,,,,,Panadería,"Edificio de producción . Atlantes, Bárbaros, Imperio",,,,,,,,Leipomo,Boulangerie,,,,,,taigh-fuine,taighe-fhuine | taighean-fuine | thaighean-fuine,,,,,,,Pekara,,Pékség,,,,,,,,Forno,,パン工房,,,,,,,,,,pistrina,,,,,,,,,,Bakeri,,Backeree,,Bakkerij,,,,,,Piekarnia,,padaria,,Padaria,,,,Пекарня,,,,,,pekáreň,,,,,,Bageri,,,,,,,,面包房,,,
Barbarian,Adjective,Of the tribe,,,,,"Варварин, варварски",,Barbar,Maez eus ar meuriad,Bàrbar,,barbarský,,Barbar,,der Barbaren,"""barbarisch"" hat eine andere Bedeutung",Βάρβαρος,,,,,,,,,,Bárbaro,De la tribu,,,,,,,,,Barbare,,,,,,Tùsanach,Tùsanaich |,,,,,,,Barbar,,Barbár,,,,,,,,Barbarico,,野蛮人,,,,,,,,,,,,,,,,,,,,,,Wild,"Flexion: Wild, Wille, Willen",,,,,,,Barbarzyński,,dos Bárbaros,,Bárbaro,,,,Варварский,,,,,,barbarský,,,,,,Barbar,,,,,,,,,,,
Barbarians,Noun,Tribe,,,,,Варвари,,,,Bàrbars,,Barbaři,,Barbarerne,,Barbaren,,Βάρβαροι,,,,,,,,,,Bárbaros,Tribu,,,,,,,,,Barbares,,,,,,Na Tùsanaich,nan Tùsanach |,,,,,,,Barbari,,Barbárok,,,,,,,,Barbari,,野蛮人,バーバリアン,,,,,,,,,Barbari,,,,,,,,,,Barbarene,,Wille Lüü,"""The Wild People""",Barbaren,,,,,,Barbarzyńcy,,Bárbaros,,Bárbaros,,,,Варвары,,,,,,Barbari,,,,,,Barbarerna,,,,Варвари,,,,,,,
Barley,Noun,Ware - Frisians,,,,,Ечемик,,,,Civada,,,,,,Gerste,,Κριθάρι,,,,,,,,,,Cebada,,,,,,,,,Ohra,orge,,,,,,eòrna,,,,,,,,,,,,,,,,,,,,大麦,,,,,,,,,,,,,,,,,,,,,,Garste,,,,,,,,,,cevada,,,,,,Ячмень,,,,,,,,,,,,,,,,,,,,,,,
Barley Field,Noun,Immovable - Frisians,,,,,Ечемичено поле,,,,Camp de civada,,,,,,Gerstenfeld,,Αγρός Κριθαριού,,,,,,,,,,Campo de cebada,,,,,,,,,Ohrapelto,,,,,,,achadh eòrna,achaidhean eòrna,,,,,,,,,,,,,,,,,,,大麦畑,,,,,,,,,,,,,,,,,,,,,,Garstenacker,,,,,,,,,,campo de cevada,,,,,,Ячменное поле,,,,,,,,,,,,,,,,,,,,,,,
Barracks,Noun,A casern building to recruit new soldiers. All tribes.,,,,,,,,,Quarter,,kasárna,,Barak,,Kaserne,,Στρατώνας,,,,,,,,,,Barracones,,,,,,,,,,Caserne,,,,,,taigh-feachd,thaigh-feachd | taighe-fheachd | taigh-fheachd,,,,,,,,,,,,,,,,,,,兵舎,兵士を生産する建物,,,,,,,,,,,,,,,,,,,,,Kasern,,,,,,,,Koszary / kwatera zaciężnika (Imperium),,Caserna,,Quartel,,,,Казармы,,,,,,,,,,,,Kasern / Logement / Militärförläggning,"Word used depending of tribe:
Barbarians: Kasern
Atlanteans: Logement
Empire: Militärförläggning",,,Казарма,,,,,,,
Barrier,Noun,"Military Building - Barbarians, Empire",,,,,Преграда,,,,Caserna,,hradba,,Fort,,Barriere,,Προμαχώνας,,,,,,,,,,Muralla,"Edificio militar - Bárbaros, Imperio",,,,,,,,,Barrière,,,,,,taigh-faire,thaigh-faire | taighe-fhaire | taighean-faire | thaighean-faire,,,,,,,,,Határőrház,,,,,,,,Fortino,,防塞,(元: 関所),,,,,,,,,,,,,,,,,,,Barriere,,Uppass,,Barrière,,,,,,Bariera,,barreira,,Barreira,,,,Форпост,,,,,,hradba,,,,,,Fort,,,,Застава,,,,,,,
Basket,Noun,"Ware - Empire, Frisians",,,,,Кошница,,,,Cistell,,koš,,Kurv,,Korb,,Καλάθι,,,,,,,,,,Cesta,Mercancía - Imperio,,,,,,,,,Panier,,,,,,cliabh,fir. gin. ┐ iol. clèibh,,,,,,,,,Kosár,,,,,,,,Cesto,(?),かご,(保留),,,,,,,,,corbis,,,,,,,,,,Kurv,,Körv,,Mand,,,,,,Kosz,,cesto,,Cesta,,,,Корзина,,,,,,kôš,,,,,,Korg,,,,,,,,,,,
Battle Arena,Noun,Training Building - Barbarians,,,,,Бойна арена,,,,Palestra d'Entrenament,,bitevní aréna,,Kamparena,,Arena,,Αρένα Μάχης,,,,,,,,,,Arena de Batalla,Edificio de entrenamiento - Bárbaro,,,,,,,,,Arène de combat,,,,,,raon catha,raoin catha | raointean catha,,,,,,,,,Küzdőtér,,,,,,,,Arena di battaglia,,闘技場,,,,,,,,,,arena bellandi,,,,,,,,,,Stridsplass,,Slachtenring,,Gevechtsarena,,,,,,Arena bitewna,,arena de combate,,Arena de Batalha,,,,Арена поединков,,,,,,zápasnícka aréna,,,,,,Stridsarena,,,,,,,,,,,
Battle Ax,Noun,Ware - Weapon - Barbarians,,,,,Бойна брадва,,,,Destral de Batalla,,bojová sekera,,Stridsøkse,,Kriegsaxt,,Πέλεκυς Μάχης,,,,,,,,,,Hacha de Batalla,Mercancía - Arma - Bárbaros,,,,,,,,,Hache de combat,,,,,,tuagh-chatha,thuagh-chatha | tuaighe-catha | tuaghan-catha | thuaghan-catha,,,,,,,,,Harci fejsze,,,,,,,,Ascia da battaglia,,戦斧,(元: バトルアックス),,,,,,,,,ascia bellandi,,,,,,,,,,Stridsøks,,Kriegsext,,Slagbijl,,,,,,Topór bojowy,,machado de batalha,,Machado de batalha,,,,Боевой топор,,,,,,bojová sekera,,,,,,Stridsyxa,,,,Бойова сокира,,,,,,,
Beekeeper,Noun,Worker - Frisians,,,,,,,,,Apicultor,,,,,,Imker,,Μελισσοκόμος,,,,,,,,,,Apicultor,,,,,,,,,Mehiläistarhuri,apiculteur,,,,,,beachlannair,bheachlannair |,,,,,,,,,,,,,,,,,,,養蜂家,,,,,,,,,,,,,,,,,,,,,,Imker,,,,,,,,,,Apicultor,,,,,,Пчеловод,,,,,,,,,,,,,,,,,,,,,,,
Beekeeper’s House,Noun,Production Building - Frisians,,,,,,,,,Casa de l'apicultor,,,,,,Imkerei,,Σπίτι Μελισσοκόμου,,,,,,,,,,Casa del Apicultor,,,,,,,,,Mehiläistarha,cabane d'apiculteur,,,,,,beachlann,bheachlann | beachlainn | bheachlainn | beachlannan | bheachlannan,,,,,,,,,,,,,,,,,,,養蜂家小屋,,,,,,,,,,,,,,,,,,,,,,Imkeree,,,,,,,,,,,,,,,,Домик пчеловода,,,,,,,,,,,,,,,,,,,,,,,
Beer,Noun,"Ware - Barbarians, Empire, Frisians",,,,,Бира,,,,Cervesa,,pivo,,Øl,,Bier,,Μπύρα,,,,,,,,,,Cerveza,"Mercancía - Bárbaros, Imperio",,,,,,,,,Bière,,,,,,leann,leanna | leanntan,,,,,,,,,Sör,,,,,,,,Birra,,ビール,,,,,,,,,,cervisia,,,,,,,,,,Øl,,Beer,,Bier,,,,,,Piwo,,cerveja,,Cerveja,,,,Пиво,,,,,,pivo,,,,,,Öl,,,,,,,,,,,
Berry Farm,Noun,Production Building - Frisians,,,,,,,,,Masoveria de baies,,,,,,Beerenzucht,,Αγρόκτημα Μούρων,,,,,,,,,,Granja de Bayas,,,,,,,,,Marjatarha,plantation de baies,,,,,,croit-dhearc,,,,,,,,,,,,,,,,,,,,ベリー農場,,,,,,,,,,,,,,,,,,,,,,Buskenplanteree,,,,,,,,,,Plantação de Cerejeiras,,,,,,Ягодная ферма,,,,,,,,,,,,,,,,,,,,,,,
Berry Farmer,Noun,Worker - Frisians,,,,,,,,,Cultivador de baies,,,,,,Beerenzüchter,,Γεωργός Μούρων,,,,,,,,,,Cultivador de Bayas,,,,,,,,,Marjatarhuri,Cueilleur,,,,,,fear nan dearcan,,,,,,,,,,,,,,,,,,,,ベリー農家,,,,,,,,,,,,,,,,,,,,,,Buskenplanter,,,,,,,,,,Agricultor,,,,,,Сборщик ягод,,,,,,,,,,,,,,,,,,,,,,,
